,image_id,planting_date,genotype,treatment,pistil_area,pistil_circularity,bbox,segm,confidence,center_x,center_y,perimeter_intersect,possible_overlap,scan_position,scan_angle,plant_id,total_scans_for_sample,y_pos_all_overlapped,y_pos_all_overlapped_len_standardized
0,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1ra3B73/no_treatment/405-2~0000000008.jpg,late_planting,gt1ra3B73,no_treatment,2960,0.8603850065362207,[[208.90555 340.7399  260.5883  417.08423]],"{'size': [672, 1008], 'counts': b'`UZ4:`d0>E7J6I7J5L3M3M3M3M2N2N2O1N2N2O000O101O0O100001O01O01O0000001O001N2O001N2N2N2N2N2N3M3M2M5J6J7I6IbU[?'}",0.99292976,234.0,293.5,False,False,00,08,/405-2,09,293.5,0.043601190476190474
1,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1ra3B73/no_treatment/405-2~0000000008.jpg,late_planting,gt1ra3B73,no_treatment,2007,0.865437815067284,[[444.702     42.35366  485.6597   105.245476]],"{'size': [672, 1008], 'counts': b'oRT9e0Wd09H6L3L3M3N2N2N3M2O1N2N2O0O100O1000000000001O000001N101O1N1O2N2M3M3N2K6K5K6H;_O[Ug:'}",0.9927926,464.5,598.5,False,False,00,08,/405-2,09,598.5,0.08898809523809524
2,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1ra3B73/no_treatment/405-2~0000000008.jpg,late_planting,gt1ra3B73,no_treatment,2065,0.8072098888847759,[[166.40598 224.90123 204.31139 296.17633]],"{'size': [672, 1008], 'counts': b'jj]3e0Wd0;G3M3N3M3L4M4L3M3M2N2N100O1O1O1O1O100O10000001O0O2O0O2O1N2O1N2N3K5J7F?\\Od\\_`0'}",0.9919729,185.0,412.0,False,False,00,08,/405-2,09,412.0,0.06130952380952381
3,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1ra3B73/no_treatment/405-2~0000000008.jpg,late_planting,gt1ra3B73,no_treatment,2035,0.8299014494997311,[[391.97202 218.16241 434.5832  283.96964]],"{'size': [672, 1008], 'counts': b'mTR8>]d09H7I6K5L4L3N2M2O2N1N2O101M200O100O100000O101O001O001O1N101O0O2M3M3M3N3K5M4J6J9_Oe[OJlRi;'}",0.99157363,413.0,420.0,False,False,00,08,/405-2,09,420.0,0.0625
4,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1ra3B73/no_treatment/405-2~0000000008.jpg,late_planting,gt1ra3B73,no_treatment,1961,0.5550273357159731,[[464.22836  27.4885  509.10797 106.669  ]],"{'size': [672, 1008], 'counts': b'fab9=Ud0b0H4000000N2K5N2K5L3100M52MO00O2N1O1N2D]NY]Oe1db0=N20O001N2N2O1N2N3M2M5L3K5L5M3J6K6I9DfgX:'}",0.98719436,486.5,605.5,False,False,00,08,/405-2,09,605.5,0.0900297619047619
5,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1ra3B73/no_treatment/405-2~0000000008.jpg,late_planting,gt1ra3B73,no_treatment,2179,0.771711555315403,[[290.0903  247.70819 333.2616  325.73257]],"{'size': [672, 1008], 'counts': b']aP6R1lc03N3M3M2N1O5K3L3O9F100O1O100O1O1O100O1001O1O1O1O1N2O1L4N2N2M3M3M3L5J6K5K6I7I_[k='}",0.9866742,312.0,384.0,False,False,00,08,/405-2,09,384.0,0.05714285714285714
6,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1ra3B73/no_treatment/405-2~0000000008.jpg,late_planting,gt1ra3B73,no_treatment,1626,0.780676985550603,[[133.29688 225.57391 173.39012 292.3877 ]],"{'size': [672, 1008], 'counts': b'[Uh2l0Rd06L3M2M3O1N2N2O0O2O1N10000O1O010O010O01O1O10O02N1O1N2O2M2O1N2N2N3M3M3L4M4K:FbfSa0'}",0.98344374,153.0,410.5,False,False,00,08,/405-2,09,410.5,0.06101190476190476
7,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1ra3B73/no_treatment/405-2~0000000008.jpg,late_planting,gt1ra3B73,no_treatment,2071,0.8148711896556148,[[138.3043  361.4369  180.8314  430.45493]],"{'size': [672, 1008], 'counts': b'Sck2:`d0<G7J4M3L6K3M4K4N1N3M2N101O1N2O000O1000000000O101O0O2O1O1O2N2N2N2N3M3L3M4K5L8G=B[on`0'}",0.98113006,159.0,276.0,False,False,00,08,/405-2,09,276.0,0.04107142857142857
8,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1ra3B73/no_treatment/405-2~0000000008.jpg,late_planting,gt1ra3B73,no_treatment,1837,0.7264019186255636,[[320.26544 265.87564 364.7492  338.15317]],"{'size': [672, 1008], 'counts': b'lnb6>]d07K4M3L4L3N3M2N3N1N2N2O1N2O1O1O1N2O1O1O0100O001N2O001O000O1O1O1O1O2N2N3M3M8G6I6J7HWPW='}",0.97155106,341.5,369.0,False,False,00,08,/405-2,09,369.0,0.054910714285714285
9,/work/pi_mbartlett_umass_edu/AmberDeNeve/grass_carpel_ml_quantification_final/data/maize_21UM_data/late_planting/gt1ra3B73/no_treatment/405-2~0000000008.jpg,late_planting,gt1ra3B73,no_treatment,1551,0.8620124213792638,[[118.814354 405.0919   164.2094   455.92285 ]],"{'size': [672, 1008], 'counts': b'SU_26hd06J5L4L5K5K3M3M5L2M2N101O0O1001O00001O001O001O1O1O1O1O1O1O1O2N1N2O1N2N2O1N3M101N2N2N4Ka^Ya0'}",0.9615299,141.5,242.0,False,False,00,08,/405-2,09,242.0,0.03601190476190476
